"id","user_hash","time","old_status","old_is_on_mobile","old_activity","new_status","new_is_on_mobile","new_activity"
2538,Heron,2025-10-26 15:45:57.199 +0100,online,false,Valorant Tracker App,online,false,Valorant Tracker App
2537,Mantis,2025-10-26 15:45:44.576 +0100,online,false,,online,true,
2536,Kudu,2025-10-26 15:43:14.228 +0100,online,true,is the partytent open on the side?,online,false,is the partytent open on the side?
2535,Kudu,2025-10-26 15:43:02.361 +0100,online,true,is the partytent open on the side?,online,true,is the partytent open on the side?
2534,Penguin,2025-10-26 15:42:10.290 +0100,online,false,Vibing to your favorite tracks. • Betty.bot,online,false,Playing some music. • Betty.bot
2533,Kudu,2025-10-26 15:41:13.340 +0100,offline,false,,online,true,is the partytent open on the side?
2532,Greyhound,2025-10-26 15:40:57.533 +0100,online,true,,offline,false,
2531,Greyhound,2025-10-26 15:38:49.760 +0100,offline,false,,online,true,
2530,Kudu,2025-10-26 15:38:09.685 +0100,online,true,is the partytent open on the side?,offline,false,
2529,Mantis,2025-10-26 15:37:36.562 +0100,offline,false,,online,false,
2528,Kudu,2025-10-26 15:36:08.921 +0100,offline,false,,online,true,is the partytent open on the side?
2527,Kudu,2025-10-26 15:36:01.252 +0100,online,true,is the partytent open on the side?,offline,false,
2526,Mantis,2025-10-26 15:35:49.320 +0100,online,true,,offline,false,
2525,Kudu,2025-10-26 15:35:10.675 +0100,online,true,is the partytent open on the side?,online,true,is the partytent open on the side?
2524,PrairieDog,2025-10-26 15:34:07.172 +0100,online,false,SteamVR,online,false,Battlefield 6
2523,PrairieDog,2025-10-26 15:33:37.076 +0100,online,false,Battlefield 6,online,false,SteamVR
2522,Mantis,2025-10-26 15:32:48.068 +0100,offline,false,,online,true,
2521,PrairieDog,2025-10-26 15:32:11.812 +0100,online,false,Battlefield 6,online,false,Battlefield 6
2520,PrairieDog,2025-10-26 15:31:41.679 +0100,online,false,SteamVR,online,false,Battlefield 6
2519,Kudu,2025-10-26 15:31:33.028 +0100,online,false,is the partytent open on the side?,online,true,is the partytent open on the side?
2518,Salmon,2025-10-26 15:30:41.723 +0100,idle,false,,online,false,
2517,PrairieDog,2025-10-26 15:23:30.112 +0100,online,false,Battlefield 6,online,false,SteamVR
2516,Kookaburra,2025-10-26 15:17:41.364 +0100,online,false,,offline,false,
